pressure: 1016.155, temp: 9.929342,  time: 2723.297
pressure: 1015.979, temp: 9.8363,  time: 2736.912
pressure: 1016.241, temp: 9.705964,  time: 2750.489
pressure: 1015.846, temp: 9.631445,  time: 2764.069
pressure: 1015.924, temp: 9.538257,  time: 2777.665
pressure: 1016.001, temp: 9.445022,  time: 2791.195
pressure: 1015.825, temp: 9.35174,  time: 2804.816
pressure: 1015.867, temp: 9.239743,  time: 2818.398
pressure: 1016.015, temp: 9.183721,  time: 2831.984
pressure: 1016.274, temp: 9.052935,  time: 2845.587
pressure: 1015.407, temp: 8.996858,  time: 2859.233
pressure: 1016.174, temp: 8.865944,  time: 2872.838
pressure: 1016.25, temp: 8.77238,  time: 2886.483
pressure: 1015.601, temp: 8.697495,  time: 2900.092
pressure: 1016.002, temp: 8.641312,  time: 2913.689
pressure: 1016.007, temp: 8.510156,  time: 2927.279
pressure: 1015.9, temp: 8.453918,  time: 2940.903
pressure: 1015.722, temp: 8.360152,  time: 2954.558
pressure: 1016.051, temp: 8.26634,  time: 2968.144
pressure: 1015.655, temp: 8.191257,  time: 2981.736
pressure: 1015.477, temp: 8.097364,  time: 2995.328
pressure: 1016.058, temp: 8.003424,  time: 3008.898
pressure: 1015.88, temp: 7.909439,  time: 3022.555
pressure: 1016.026, temp: 7.853025,  time: 3036.15
pressure: 1015.847, temp: 7.758967,  time: 3049.763
pressure: 1016.21, temp: 7.683687,  time: 3063.383
pressure: 1015.814, temp: 7.608377,  time: 3077.008
pressure: 1015.852, temp: 7.495359,  time: 3090.653
pressure: 1015.962, temp: 7.419976,  time: 3104.353
pressure: 1016.324, temp: 7.344564,  time: 3118.01
pressure: 1015.963, temp: 7.287986,  time: 3131.663
pressure: 1015.784, temp: 7.193653,  time: 3145.289
pressure: 1015.641, temp: 7.118153,  time: 3158.95
pressure: 1016.218, temp: 7.023736,  time: 3172.663
pressure: 1015.642, temp: 6.985958,  time: 3186.28
pressure: 1016.003, temp: 6.910377,  time: 3199.93
pressure: 1016.075, temp: 6.815861,  time: 3213.548
pressure: 1016.4, temp: 6.721298,  time: 3227.12
pressure: 1015.823, temp: 6.683461,  time: 3240.858
pressure: 1015.643, temp: 6.588835,  time: 3254.436
pressure: 1015.752, temp: 6.513101,  time: 3268.015
pressure: 1016.183, temp: 6.475223,  time: 3281.59
pressure: 1015.715, temp: 6.361545,  time: 3295.188
pressure: 1016.147, temp: 6.323637,  time: 3308.756
pressure: 1016.003, temp: 6.2478,  time: 3322.408
pressure: 1015.858, temp: 6.171935,  time: 3336.01
pressure: 1016.217, temp: 6.096039,  time: 3349.63
pressure: 1015.821, temp: 6.020115,  time: 3363.289
pressure: 1015.676, temp: 5.944161,  time: 3376.904
pressure: 1016.107, temp: 5.906173,  time: 3390.564
pressure: 1015.89, temp: 5.792166,  time: 3404.176
pressure: 1016.032, temp: 5.735136,  time: 3417.77
pressure: 1016.212, temp: 5.697108,  time: 3431.369
pressure: 1015.527, temp: 5.602006,  time: 3444.944
pressure: 1016.173, temp: 5.544922,  time: 3458.618
pressure: 1015.849, temp: 5.506857,  time: 3472.217
pressure: 1016.495, temp: 5.449747,  time: 3485.83
pressure: 1015.81, temp: 5.354525,  time: 3499.443
